OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1197",Trail,Durant Segment,Existing,NA,Asphalt,0.031153690000000,10.000000000000000,NA,0.000000000000000,Simms Branch Trail,COR,NO,OPEN,"95",{04CE942B-7F57-4C2A-847C-9BDB1E7FAB39},0.000471862491380
"1198",Trail,Neuse River Trail,Existing,NA,Asphalt,0.090967860000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"315",{6AF9CB63-85C0-44F2-AA24-B2457FD3F813},0.001359428821274
"1199",Trail,Neuse River Trail,Existing,NA,Unknown,0.162527190000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"326",{924EFDD6-7522-4980-B3B5-BBBF24CECD16},0.002748246793376
"1200",Crossing,Edwards Mill Connector,Existing,NA,Asphalt,0.016608510000000,10.000000000000000,NA,0.000000000000000,Edwards Mill Connector,COR,YES,OPEN,"292",{02A2EB16-0F41-4BEA-B35F-C43C866D8FAB},0.000241419950644
"1201",Trail,Rocky Branch Trail Extension,Existing,NA,Asphalt,0.012949480000000,8.000000000000000,NA,0.000000000000000,Centennial Bikeway Connector,COR,NO,OPEN,"74",{48D0E351-94A4-4B9F-BF4C-9476EA850C9A},0.000226580141878
"1202",Trail,Rocky Branch Trail Extension,Existing,NA,Asphalt,0.077759420000000,8.000000000000000,NA,0.000000000000000,Rocky Branch Trail Extension,COR,NO,OPEN,"74",{07057BC1-808D-4761-911E-DD1775CB42AF},0.001361615512561
"1203",Trail,Neuse River Trail,Existing,NA,Asphalt,0.256081050000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,,OPEN,"315",{602D8E2F-7C42-43BF-BC6C-EBC224D43560},0.004396488357327
"1204",Trail,Neuse River Trail,Existing,NA,Asphalt,0.021706910000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,,OPEN,"315",{378D0DCF-C7AC-4095-A400-F0E1A2A98085},0.000326686620687
"1205",Crossing,Reedy Creek Trail,Existing,NA,Asphalt,0.007029790000000,10.000000000000000,,0.000000000000000,Reedy Creek Trail,COR,,OPEN,"320",{40657918-2B6F-4D74-9814-4F5AD4AE130D},0.000125079142824
"1206",Trail,Reedy Creek Trail,Existing,NA,Asphalt,0.045628990000000,10.000000000000000,,0.000000000000000,Reedy Creek Trail,COR,,OPEN,"320",{E9CE73D6-9CB0-4D1E-A149-A4DD818B2C06},0.000746792925899
